,Category,Description,Data.Carbohydrate,Data.Cholesterol,Data.Fiber,Data.Protein,Data.Sugar Total,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,Dietary category,Data.Carbohydratehighorlow,Data.Cholesterolhighorlow,Data.Fiberhighorlow,Data.Proteinhighorlow,Data.Sugar Totalhighorlow,Data.Waterhighorlow,Data.Fat.Monosaturated Fathighorlow,Data.Fat.Polysaturated Fathighorlow,Data.Fat.Saturated Fathighorlow,Data.Fat.Total Lipidhighorlow,Data.Major Minerals.Calciumhighorlow,Data.Major Minerals.Copperhighorlow,Data.Major Minerals.Ironhighorlow,Data.Major Minerals.Magnesiumhighorlow,Data.Major Minerals.Phosphorushighorlow,Data.Major Minerals.Potassiumhighorlow,Data.Major Minerals.Sodiumhighorlow,Data.Major Minerals.Zinchighorlow,Data.Vitamins.Vitamin A - RAEhighorlow,Data.Vitamins.Vitamin B12highorlow,Data.Vitamins.Vitamin B6highorlow,Data.Vitamins.Vitamin Chighorlow,Data.Vitamins.Vitamin Ehighorlow,Data.Vitamins.Vitamin Khighorlow
0,Milk,"Milk, human",6.89,14,0.0,1.03,6.89,87.5,1.658,0.497,2.009,4.38,32,0.052,0.03,3,14,51,17,0.17,61,0.05,0.011,5.0,0.08,0.3,Vegetarian,low,low,low,low,medium,high,low,low,medium,low,low,low,low,low,low,low,low,low,medium,low,low,medium,low,low
1,Milk,"Milk, NFS",4.87,8,0.0,3.34,4.89,89.04,0.426,0.065,1.164,1.99,126,0.001,0.0,12,103,157,39,0.42,59,0.56,0.06,0.1,0.03,0.2,Vegetarian,low,low,low,low,medium,high,low,low,low,low,high,low,low,low,medium,medium,low,low,medium,medium,low,low,low,low
2,Milk,"Milk, whole",4.67,12,0.0,3.28,4.81,88.1,0.688,0.108,1.86,3.2,123,0.001,0.0,12,101,150,38,0.41,32,0.54,0.061,0.0,0.05,0.3,Vegetarian,low,low,low,low,medium,high,low,low,medium,low,high,low,low,low,medium,medium,low,low,low,medium,low,low,low,low
3,Milk,"Milk, low sodium, whole",4.46,14,0.0,3.1,4.46,88.2,0.999,0.128,2.154,3.46,101,0.01,0.05,5,86,253,3,0.38,29,0.36,0.034,0.9,0.08,0.3,Vegetarian,low,low,low,low,medium,high,low,low,medium,low,medium,low,low,low,medium,medium,low,low,low,low,low,low,low,low
4,Milk,"Milk, calcium fortified, whole",4.67,12,0.0,3.28,4.81,88.1,0.688,0.108,1.86,3.2,123,0.001,0.0,12,101,150,38,0.41,32,0.54,0.061,0.0,0.05,0.3,Vegetarian,low,low,low,low,medium,high,low,low,medium,low,high,low,low,low,medium,medium,low,low,low,medium,low,low,low,low
5,Milk,"Milk, calcium fortified, low fat (1%)",5.19,5,0.0,3.38,4.96,89.7,0.21,0.032,0.568,0.95,126,0.001,0.0,12,103,159,39,0.43,58,0.61,0.06,0.0,0.02,0.1,Vegetarian,low,low,low,low,medium,high,low,low,low,low,high,low,low,low,medium,medium,low,low,medium,medium,low,low,low,low
6,Milk,"Milk, calcium fortified, fat free (skim)",4.85,2,0.0,3.4,4.85,90.8,0.047,0.007,0.117,0.18,204,0.011,0.04,11,101,166,52,0.4,137,0.38,0.04,1.0,0.01,0.0,Vegetarian,low,low,low,low,medium,high,low,low,low,low,high,low,low,low,medium,medium,low,low,high,low,low,low,low,low
7,Milk,"Milk, reduced fat (2%)",4.91,8,0.0,3.35,4.89,89.1,0.4,0.058,1.11,1.9,126,0.001,0.0,12,103,159,39,0.43,83,0.55,0.061,0.2,0.03,0.2,Vegetarian,low,low,low,low,medium,high,low,low,low,low,high,low,low,low,medium,medium,low,low,medium,medium,low,low,low,low
8,Milk,"Milk, acidophilus, low fat (1%)",5.19,5,0.0,3.38,4.96,89.7,0.21,0.032,0.568,0.95,126,0.001,0.0,12,103,159,39,0.43,58,0.61,0.06,0.0,0.02,0.1,Vegetarian,low,low,low,low,medium,high,low,low,low,low,high,low,low,low,medium,medium,low,low,medium,medium,low,low,low,low
9,Milk,"Milk, acidophilus, reduced fat (2%)",4.91,8,0.0,3.35,4.89,89.1,0.4,0.058,1.11,1.9,126,0.001,0.0,12,103,159,39,0.43,83,0.55,0.061,0.2,0.03,0.2,Vegetarian,low,low,low,low,medium,high,low,low,low,low,high,low,low,low,medium,medium,low,low,medium,medium,low,low,low,low
